dataset,field,agreement,kappa,n
piloto_50,venue_type,0.8,0.6947496947496948,50
piloto_50,domain_class,1.0,1.0,50
piloto_50,task_class,0.98,0.9649368863955119,50
piloto_50,target_class,0.84,0.8021760633036596,50
piloto_50,has_public_code,0.9,0.8114630467571643,50
piloto_50,has_public_dataset,0.88,0.5714285714285713,50
piloto_50,horizon_type,1.0,1.0,50
piloto_50,horizon_unit,1.0,1.0,50
piloto_50,frequency_unit,0.86,0.7026338147833474,50
piloto_50,node_unit,0.96,0.9346832135858916,50
piloto_50,graph_node_count_status,0.88,0.34497816593886516,50
piloto_50,coding_status,1.0,1.0,50
piloto_50,confidence,1.0,1.0,50
holdout_20,venue_type,0.85,0.3478260869565216,20
holdout_20,domain_class,0.9,0.8461538461538464,20
holdout_20,task_class,0.85,0.765625,20
holdout_20,target_class,0.9,0.838709677419355,20
holdout_20,has_public_code,0.95,0.8979591836734693,20
holdout_20,has_public_dataset,0.85,0.368421052631579,20
holdout_20,horizon_type,1.0,1.0,20
holdout_20,horizon_unit,1.0,1.0,20
holdout_20,frequency_unit,0.75,0.6551724137931034,20
holdout_20,node_unit,0.9,0.8418972332015809,20
holdout_20,graph_node_count_status,0.85,0.48275862068965497,20
holdout_20,coding_status,1.0,1.0,20
holdout_20,confidence,1.0,1.0,20
