corpus,workflow,field,gold_acc,second_acc,delta_second_minus_gold,n
pilot,w10_schema_v4_access,coding_status,0.740,0.740,0.000,50
pilot,w10_schema_v4_access,confidence,0.540,0.540,0.000,50
pilot,w10_schema_v4_access,dataset_family,0.740,0.740,0.000,50
pilot,w10_schema_v4_access,domain_class,0.900,0.900,0.000,50
pilot,w10_schema_v4_access,frequency_unit,0.780,0.840,0.060,50
pilot,w10_schema_v4_access,frequency_value,0.760,0.840,0.080,50
pilot,w10_schema_v4_access,graph_node_count_max,0.860,0.840,-0.020,50
pilot,w10_schema_v4_access,graph_node_count_min,0.840,0.820,-0.020,50
pilot,w10_schema_v4_access,graph_node_count_status,0.880,0.900,0.020,50
pilot,w10_schema_v4_access,has_public_code,0.780,0.720,-0.060,50
pilot,w10_schema_v4_access,has_public_dataset,0.920,0.860,-0.060,50
pilot,w10_schema_v4_access,horizon_max_value,0.900,0.900,0.000,50
pilot,w10_schema_v4_access,horizon_min_value,0.840,0.840,0.000,50
pilot,w10_schema_v4_access,horizon_type,0.700,0.700,0.000,50
pilot,w10_schema_v4_access,horizon_unit,0.900,0.900,0.000,50
pilot,w10_schema_v4_access,node_unit,0.800,0.840,0.040,50
pilot,w10_schema_v4_access,target_class,0.740,0.720,-0.020,50
pilot,w10_schema_v4_access,task_class,0.880,0.900,0.020,50
pilot,w10_schema_v4_access,venue_type,0.740,0.740,0.000,50
pilot,w10_schema_v4_access,year,0.820,0.860,0.040,50
pilot,w18_horizon_rules_all_pilot,coding_status,0.740,0.740,0.000,50
pilot,w18_horizon_rules_all_pilot,confidence,0.540,0.540,0.000,50
pilot,w18_horizon_rules_all_pilot,dataset_family,0.740,0.740,0.000,50
pilot,w18_horizon_rules_all_pilot,domain_class,0.900,0.900,0.000,50
pilot,w18_horizon_rules_all_pilot,frequency_unit,0.780,0.840,0.060,50
pilot,w18_horizon_rules_all_pilot,frequency_value,0.760,0.840,0.080,50
pilot,w18_horizon_rules_all_pilot,graph_node_count_max,0.860,0.840,-0.020,50
pilot,w18_horizon_rules_all_pilot,graph_node_count_min,0.840,0.820,-0.020,50
pilot,w18_horizon_rules_all_pilot,graph_node_count_status,0.880,0.900,0.020,50
pilot,w18_horizon_rules_all_pilot,has_public_code,0.780,0.720,-0.060,50
pilot,w18_horizon_rules_all_pilot,has_public_dataset,0.920,0.860,-0.060,50
pilot,w18_horizon_rules_all_pilot,horizon_max_value,1.000,1.000,0.000,50
pilot,w18_horizon_rules_all_pilot,horizon_min_value,1.000,1.000,0.000,50
pilot,w18_horizon_rules_all_pilot,horizon_type,1.000,1.000,0.000,50
pilot,w18_horizon_rules_all_pilot,horizon_unit,1.000,1.000,0.000,50
pilot,w18_horizon_rules_all_pilot,node_unit,0.800,0.840,0.040,50
pilot,w18_horizon_rules_all_pilot,target_class,0.740,0.720,-0.020,50
pilot,w18_horizon_rules_all_pilot,task_class,0.880,0.900,0.020,50
pilot,w18_horizon_rules_all_pilot,venue_type,0.740,0.740,0.000,50
pilot,w18_horizon_rules_all_pilot,year,0.820,0.860,0.040,50
pilot,w19_frequency_rules_conservative_pilot,coding_status,0.740,0.740,0.000,50
pilot,w19_frequency_rules_conservative_pilot,confidence,0.540,0.540,0.000,50
pilot,w19_frequency_rules_conservative_pilot,dataset_family,0.740,0.740,0.000,50
pilot,w19_frequency_rules_conservative_pilot,domain_class,0.900,0.900,0.000,50
pilot,w19_frequency_rules_conservative_pilot,frequency_unit,0.960,0.860,-0.100,50
pilot,w19_frequency_rules_conservative_pilot,frequency_value,0.960,0.920,-0.040,50
pilot,w19_frequency_rules_conservative_pilot,graph_node_count_max,0.860,0.840,-0.020,50
pilot,w19_frequency_rules_conservative_pilot,graph_node_count_min,0.840,0.820,-0.020,50
pilot,w19_frequency_rules_conservative_pilot,graph_node_count_status,0.880,0.900,0.020,50
pilot,w19_frequency_rules_conservative_pilot,has_public_code,0.780,0.720,-0.060,50
pilot,w19_frequency_rules_conservative_pilot,has_public_dataset,0.920,0.860,-0.060,50
pilot,w19_frequency_rules_conservative_pilot,horizon_max_value,1.000,1.000,0.000,50
pilot,w19_frequency_rules_conservative_pilot,horizon_min_value,1.000,1.000,0.000,50
