workflow,paper_id,field,gold,pred,match,match_reason
metadata_prior_baseline,DCRNN,year,2018,2017,no,mismatch
metadata_prior_baseline,DCRNN,venue_type,conference,preprint,no,mismatch
metadata_prior_baseline,DCRNN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,DCRNN,task_class,traffic_forecasting,traffic_forecasting,yes,exact
metadata_prior_baseline,DCRNN,target_class,traffic_speed,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,DCRNN,dataset_family,metr_la|pems_bay,not_reported,no,set_mismatch
metadata_prior_baseline,DCRNN,has_public_code,yes,not_reported,no,mismatch
metadata_prior_baseline,DCRNN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,DCRNN,horizon_type,multi_horizon,multi_horizon,yes,exact
metadata_prior_baseline,DCRNN,horizon_min_value,15,15,yes,exact
metadata_prior_baseline,DCRNN,horizon_max_value,60,60,yes,exact
metadata_prior_baseline,DCRNN,horizon_unit,minutes,minutes,yes,exact
metadata_prior_baseline,DCRNN,frequency_value,5,5,yes,exact
metadata_prior_baseline,DCRNN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,DCRNN,graph_node_count_min,207,not_reported,no,mismatch
metadata_prior_baseline,DCRNN,graph_node_count_max,325,not_reported,no,mismatch
metadata_prior_baseline,DCRNN,node_unit,sensors,sensors,yes,exact
metadata_prior_baseline,DCRNN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,DCRNN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,DCRNN,confidence,high,medium,no,mismatch
metadata_prior_baseline,STGCN,year,2018,2017,no,mismatch
metadata_prior_baseline,STGCN,venue_type,conference,preprint,no,mismatch
metadata_prior_baseline,STGCN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,STGCN,task_class,traffic_forecasting,traffic_forecasting,yes,exact
metadata_prior_baseline,STGCN,target_class,traffic_speed,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,STGCN,dataset_family,bjer4|pemsd7,not_reported,no,set_mismatch
metadata_prior_baseline,STGCN,has_public_code,not_reported,not_reported,yes,exact
metadata_prior_baseline,STGCN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,STGCN,horizon_type,multi_horizon,multi_horizon,yes,exact
metadata_prior_baseline,STGCN,horizon_min_value,15,15,yes,exact
metadata_prior_baseline,STGCN,horizon_max_value,45,60,no,mismatch
metadata_prior_baseline,STGCN,horizon_unit,minutes,minutes,yes,exact
metadata_prior_baseline,STGCN,frequency_value,5,5,yes,exact
metadata_prior_baseline,STGCN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,STGCN,graph_node_count_min,12,not_reported,no,mismatch
metadata_prior_baseline,STGCN,graph_node_count_max,1026,not_reported,no,mismatch
metadata_prior_baseline,STGCN,node_unit,sensors,sensors,yes,exact
metadata_prior_baseline,STGCN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,STGCN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,STGCN,confidence,high,medium,no,mismatch
metadata_prior_baseline,Graph WaveNet,year,2019,2019,yes,exact
metadata_prior_baseline,Graph WaveNet,venue_type,conference,preprint,no,mismatch
metadata_prior_baseline,Graph WaveNet,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,Graph WaveNet,task_class,traffic_forecasting,traffic_forecasting,yes,exact
metadata_prior_baseline,Graph WaveNet,target_class,traffic_speed,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,Graph WaveNet,dataset_family,metr_la|pems_bay,not_reported,no,set_mismatch
metadata_prior_baseline,Graph WaveNet,has_public_code,yes,not_reported,no,mismatch
metadata_prior_baseline,Graph WaveNet,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,Graph WaveNet,horizon_type,multi_horizon,multi_horizon,yes,exact
metadata_prior_baseline,Graph WaveNet,horizon_min_value,15,15,yes,exact
metadata_prior_baseline,Graph WaveNet,horizon_max_value,60,60,yes,exact
metadata_prior_baseline,Graph WaveNet,horizon_unit,minutes,minutes,yes,exact
metadata_prior_baseline,Graph WaveNet,frequency_value,5,5,yes,exact
metadata_prior_baseline,Graph WaveNet,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,Graph WaveNet,graph_node_count_min,207,not_reported,no,mismatch
metadata_prior_baseline,Graph WaveNet,graph_node_count_max,325,not_reported,no,mismatch
metadata_prior_baseline,Graph WaveNet,node_unit,sensors,sensors,yes,exact
metadata_prior_baseline,Graph WaveNet,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,Graph WaveNet,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,Graph WaveNet,confidence,high,medium,no,mismatch
metadata_prior_baseline,GP-DCRNN,year,2019,2019,yes,exact
metadata_prior_baseline,GP-DCRNN,venue_type,journal,preprint,no,mismatch
metadata_prior_baseline,GP-DCRNN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,GP-DCRNN,task_class,traffic_forecasting,traffic_forecasting,yes,exact
metadata_prior_baseline,GP-DCRNN,target_class,traffic_speed_and_flow,traffic_speed_and_flow,yes,exact
metadata_prior_baseline,GP-DCRNN,dataset_family,california_highway_pems,not_reported,no,set_mismatch
metadata_prior_baseline,GP-DCRNN,has_public_code,not_reported,not_reported,yes,exact
metadata_prior_baseline,GP-DCRNN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,GP-DCRNN,horizon_type,single_horizon,multi_horizon,no,mismatch
metadata_prior_baseline,GP-DCRNN,horizon_min_value,60,15,no,mismatch
metadata_prior_baseline,GP-DCRNN,horizon_max_value,60,60,yes,exact
metadata_prior_baseline,GP-DCRNN,horizon_unit,minutes,minutes,yes,exact
metadata_prior_baseline,GP-DCRNN,frequency_value,5,5,yes,exact
metadata_prior_baseline,GP-DCRNN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,GP-DCRNN,graph_node_count_min,11160,not_reported,no,mismatch
metadata_prior_baseline,GP-DCRNN,graph_node_count_max,11160,not_reported,no,mismatch
metadata_prior_baseline,GP-DCRNN,node_unit,stations,sensors,no,mismatch
metadata_prior_baseline,GP-DCRNN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,GP-DCRNN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,GP-DCRNN,confidence,high,medium,no,mismatch
metadata_prior_baseline,GMAN,year,2019,2019,yes,exact
metadata_prior_baseline,GMAN,venue_type,conference,preprint,no,mismatch
metadata_prior_baseline,GMAN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,GMAN,task_class,traffic_forecasting,traffic_forecasting,yes,exact
metadata_prior_baseline,GMAN,target_class,traffic_speed_and_flow,traffic_speed_and_flow,yes,exact
metadata_prior_baseline,GMAN,dataset_family,xiamen|pems_bay,not_reported,no,set_mismatch
metadata_prior_baseline,GMAN,has_public_code,yes,not_reported,no,mismatch
metadata_prior_baseline,GMAN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,GMAN,horizon_type,sequence,multi_horizon,no,mismatch
metadata_prior_baseline,GMAN,horizon_min_value,12,15,no,mismatch
metadata_prior_baseline,GMAN,horizon_max_value,12,60,no,mismatch
metadata_prior_baseline,GMAN,horizon_unit,steps,minutes,no,mismatch
metadata_prior_baseline,GMAN,frequency_value,5,5,yes,exact
metadata_prior_baseline,GMAN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,GMAN,graph_node_count_min,95,not_reported,no,mismatch
metadata_prior_baseline,GMAN,graph_node_count_max,325,not_reported,no,mismatch
metadata_prior_baseline,GMAN,node_unit,sensors,sensors,yes,exact
metadata_prior_baseline,GMAN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,GMAN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,GMAN,confidence,high,medium,no,mismatch
metadata_prior_baseline,STTN,year,2020,2020,yes,exact
metadata_prior_baseline,STTN,venue_type,journal,preprint,no,mismatch
metadata_prior_baseline,STTN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,STTN,task_class,traffic_forecasting,traffic_forecasting,yes,exact
metadata_prior_baseline,STTN,target_class,traffic_speed,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,STTN,dataset_family,pemsd7|pems_bay,not_reported,no,set_mismatch
metadata_prior_baseline,STTN,has_public_code,no,not_reported,no,mismatch
metadata_prior_baseline,STTN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,STTN,horizon_type,multi_horizon,multi_horizon,yes,exact
