workflow,label,covered_papers,expected_papers,complete_50_paper_output,correct_20_fields,total_20_fields,accuracy_20_fields,correct_18_objective,total_18_objective,accuracy_18_objective,delta_18_vs_direct
metadata_prior_baseline,metadata_prior_rules,50,50,yes,409,1000,0.409,371,900,0.412,-0.039
w0_direct_50,direct_prompt,50,50,yes,462,1000,0.462,406,900,0.451,0.000
w1_metadata_sections,metadata_sections,50,50,yes,561,1000,0.561,498,900,0.553,0.102
w2_schema_normalized_50,schema_normalized,50,50,yes,574,1000,0.574,511,900,0.568,0.117
w3_field_groups_50,field_groups,50,50,yes,602,1000,0.602,549,900,0.610,0.159
w4_hybrid_w2_w3_50,field_family_hybrid,50,50,yes,637,1000,0.637,574,900,0.638,0.187
w5_evidence_required,evidence_required,50,50,yes,588,1000,0.588,526,900,0.584,0.133
w6_second_pass_audit,second_pass_audit,50,50,yes,632,1000,0.632,569,900,0.632,0.181
w7_retrieval_tables,table_caption_retrieval,50,50,yes,576,1000,0.576,511,900,0.568,0.117
w8_self_consistency,self_consistency,50,50,yes,574,1000,0.574,509,900,0.566,0.115
w9_multi_model_panel,multi_model_panel,50,50,yes,644,1000,0.644,582,900,0.647,0.196
w10_guideline_fewshot_qwen3_coder,qwen_guideline_fewshot,50,50,yes,796,1000,0.796,732,900,0.813,0.362
w11_cot_grouped,cot_grouped,50,50,yes,726,1000,0.726,660,900,0.733,0.282
w10_schema_v4_access,structured_baseline_access,50,50,yes,803,1000,0.803,739,900,0.821,0.370
w16_temporal_audit_qwen3_coder,temporal_llm_audit,50,50,yes,803,1000,0.803,739,900,0.821,0.370
w18_horizon_rules_all_pilot,horizon_rules,50,50,yes,836,1000,0.836,772,900,0.858,0.407
w19_frequency_rules_conservative_pilot,conservative_frequency_rules,50,50,yes,855,1000,0.855,791,900,0.879,0.428
w10_guideline_fewshot_gemma3_12b,model_sensitivity_raw_gemma3_12b,50,50,yes,667,1000,0.667,605,900,0.672,0.221
w10_schema_v4_access_gemma3_12b,model_sensitivity_access_gemma3_12b,50,50,yes,669,1000,0.669,607,900,0.674,0.223
w10_guideline_fewshot_mistral_nemo_12b,model_sensitivity_raw_mistral_nemo_12b,50,50,yes,593,1000,0.593,529,900,0.588,0.137
w10_schema_v4_access_mistral_nemo_12b,model_sensitivity_access_mistral_nemo_12b,50,50,yes,605,1000,0.605,541,900,0.601,0.150
w10_guideline_fewshot_llama3_1_8b,model_sensitivity_raw_llama3_1_8b,50,50,yes,675,1000,0.675,609,900,0.677,0.226
w10_schema_v4_access_llama3_1_8b,model_sensitivity_access_llama3_1_8b,50,50,yes,683,1000,0.683,617,900,0.686,0.235
