model,workflow,n,mean_s_per_paper,median_s_per_paper,total_min
command-r:35b,w0_direct,50,109.54,105.88,91.28
command-r:35b,w10_guideline_fewshot,50,191.8,189.97,159.83
command-r:35b,w11_cot_grouped,50,656.52,634.76,547.1
command-r:35b,w2_schema_normalized,50,114.64,113.18,95.53
command-r:35b,w3_field_groups,50,191.28,187.05,159.4
command-r:35b,w6_second_pass_audit,50,74.51,74.92,62.09
gemma3:12b,w0_direct,50,12.51,12.29,10.42
gemma3:12b,w10_guideline_fewshot,50,39.34,39.73,32.79
gemma3:12b,w11_cot_grouped,50,85.3,63.66,71.08
gemma3:12b,w2_schema_normalized,50,12.73,12.82,10.61
gemma3:12b,w3_field_groups,50,33.32,33.45,27.77
gemma3:12b,w6_second_pass_audit,50,12.59,12.6,10.5
llama3.1:8b,w0_direct,50,7.94,7.52,6.62
llama3.1:8b,w10_guideline_fewshot,50,25.71,25.25,21.42
llama3.1:8b,w11_cot_grouped,50,53.79,36.31,44.82
llama3.1:8b,w2_schema_normalized,50,8.51,8.34,7.09
llama3.1:8b,w3_field_groups,50,23.29,23.51,19.41
llama3.1:8b,w6_second_pass_audit,50,15.82,6.92,13.18
mistral-nemo:12b,w0_direct,50,19.74,18.66,16.45
mistral-nemo:12b,w10_guideline_fewshot,50,49.49,47.45,41.24
mistral-nemo:12b,w11_cot_grouped,50,88.8,88.08,74.0
mistral-nemo:12b,w2_schema_normalized,50,21.3,20.93,17.75
mistral-nemo:12b,w3_field_groups,50,46.52,46.08,38.76
mistral-nemo:12b,w6_second_pass_audit,50,19.2,18.79,16.0
qwen2.5-coder:7b,w6_second_pass_audit,50,8.23,7.98,6.86
qwen3-coder:30b,w0_direct,50,17.59,16.78,14.66
qwen3-coder:30b,w11_cot_grouped,50,87.33,85.52,72.77
qwen3-coder:30b,w2_schema_normalized,50,19.26,19.53,16.05
qwen3-coder:30b,w3_field_groups,50,55.33,56.27,46.11
qwen3-coder:30b,w6_second_pass_audit,50,17.06,17.38,14.22
